,Attraction,AttractionType,CityName,Country,Region,Continent
5436,Tegenungan Waterfall,Waterfalls,Ubud,Indonesia,South East Asia,Asia
5458,Nusa Dua Beach,Beaches,Ubud,Indonesia,South East Asia,Asia
5461,Kuta Beach - Bali,Beaches,Ubud,Indonesia,South East Asia,Asia
5468,Sanur Beach,Beaches,Ubud,Indonesia,South East Asia,Asia
5479,Seminyak Beach,Beaches,Ubud,Indonesia,South East Asia,Asia
5484,Tanah Lot Temple,Religious Sites,Ubud,Indonesia,South East Asia,Asia
5491,Uluwatu Temple,Religious Sites,Ubud,Indonesia,South East Asia,Asia
5499,Waterbom Bali,Water Parks,Ubud,Indonesia,South East Asia,Asia
5522,Ullen Sentalu Museum,History Museums,Ubud,Indonesia,South East Asia,Asia
5523,Yogyakarta Palace,Historic Sites,Ubud,Indonesia,South East Asia,Asia
5524,Ratu Boko Temple,Ancient Ruins,Ubud,Indonesia,South East Asia,Asia
5525,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Colchester,United Kingdom,Western Europe,Europe
5529,Tegalalang Rice Terrace,Points of Interest & Landmarks,Colchester,United Kingdom,Western Europe,Europe
5530,Tegenungan Waterfall,Waterfalls,Colchester,United Kingdom,Western Europe,Europe
5531,Nusa Dua Beach,Beaches,Colchester,United Kingdom,Western Europe,Europe
5532,Kuta Beach - Bali,Beaches,Colchester,United Kingdom,Western Europe,Europe
5534,Sanur Beach,Beaches,Colchester,United Kingdom,Western Europe,Europe
5535,Seminyak Beach,Beaches,Colchester,United Kingdom,Western Europe,Europe
5536,Tanah Lot Temple,Religious Sites,Colchester,United Kingdom,Western Europe,Europe
5537,Waterbom Bali,Water Parks,Colchester,United Kingdom,Western Europe,Europe
5539,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Dhaka City,Bangladesh,South Asia,Asia
5549,Tegalalang Rice Terrace,Points of Interest & Landmarks,Dhaka City,Bangladesh,South Asia,Asia
5561,Bromo Tengger Semeru National Park,National Parks,Dhaka City,Bangladesh,South Asia,Asia
5562,Tegenungan Waterfall,Waterfalls,Dhaka City,Bangladesh,South Asia,Asia
5573,Nusa Dua Beach,Beaches,Dhaka City,Bangladesh,South Asia,Asia
5579,Kuta Beach - Bali,Beaches,Dhaka City,Bangladesh,South Asia,Asia
5598,Sanur Beach,Beaches,Dhaka City,Bangladesh,South Asia,Asia
5602,Seminyak Beach,Beaches,Dhaka City,Bangladesh,South Asia,Asia
5605,Tanah Lot Temple,Religious Sites,Dhaka City,Bangladesh,South Asia,Asia
5622,Uluwatu Temple,Religious Sites,Dhaka City,Bangladesh,South Asia,Asia
5643,Waterbom Bali,Water Parks,Dhaka City,Bangladesh,South Asia,Asia
5657,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Grand Forks,Canada,Northern America,America
5658,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Vlaardingen,Netherlands,Western Europe,Europe
5659,Tegalalang Rice Terrace,Points of Interest & Landmarks,Vlaardingen,Netherlands,Western Europe,Europe
5660,Sanur Beach,Beaches,Vlaardingen,Netherlands,Western Europe,Europe
5661,Waterbom Bali,Water Parks,Vlaardingen,Netherlands,Western Europe,Europe
5662,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Doncaster,United Kingdom,Western Europe,Europe
5672,Tegalalang Rice Terrace,Points of Interest & Landmarks,Doncaster,United Kingdom,Western Europe,Europe
5675,Tegenungan Waterfall,Waterfalls,Doncaster,United Kingdom,Western Europe,Europe
5676,Nusa Dua Beach,Beaches,Doncaster,United Kingdom,Western Europe,Europe
5677,Kuta Beach - Bali,Beaches,Doncaster,United Kingdom,Western Europe,Europe
5679,Sanur Beach,Beaches,Doncaster,United Kingdom,Western Europe,Europe
5680,Seminyak Beach,Beaches,Doncaster,United Kingdom,Western Europe,Europe
5683,Tanah Lot Temple,Religious Sites,Doncaster,United Kingdom,Western Europe,Europe
5687,Uluwatu Temple,Religious Sites,Doncaster,United Kingdom,Western Europe,Europe
5689,Waterbom Bali,Water Parks,Doncaster,United Kingdom,Western Europe,Europe
5695,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Paris,France,Western Europe,Europe
5763,Tegalalang Rice Terrace,Points of Interest & Landmarks,Paris,France,Western Europe,Europe
5796,Bromo Tengger Semeru National Park,National Parks,Paris,France,Western Europe,Europe
5797,Tegenungan Waterfall,Waterfalls,Paris,France,Western Europe,Europe
5806,Coban Rondo Waterfall,Waterfalls,Paris,France,Western Europe,Europe
5808,Nusa Dua Beach,Beaches,Paris,France,Western Europe,Europe
5810,Kuta Beach - Bali,Beaches,Paris,France,Western Europe,Europe
5818,Sanur Beach,Beaches,Paris,France,Western Europe,Europe
5825,Seminyak Beach,Beaches,Paris,France,Western Europe,Europe
5836,Tanah Lot Temple,Religious Sites,Paris,France,Western Europe,Europe
5845,Uluwatu Temple,Religious Sites,Paris,France,Western Europe,Europe
5853,Waterbom Bali,Water Parks,Paris,France,Western Europe,Europe
5858,Mount Semeru Volcano,Volcanos,Paris,France,Western Europe,Europe
